Table 1.1.9. Implicit Price Deflators for Gross Domestic Product
Table 1.1.9. Implicit Price Deflators for Gross Domestic Product
"Last Revised on: April 25, 2024 - Next Release Date May 30, 2024"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,"        Gross domestic product",11.141,11.299,11.489,11.772,11.865,11.972,12.193,12.230,12.165,12.043,11.988,11.989,11.970,12.011,12.272,12.502,12.953,13.039,13.047,13.196,13.190,13.206,13.354,13.390,13.393,13.420,13.476,13.501,13.544,13.556,13.574,13.611,13.675,13.731,13.827,13.964,14.104,14.187,14.365,14.423,14.621,14.723,14.811,14.821,14.982,15.025,15.117,15.189,15.224,15.248,15.307,15.367,15.428,15.467,15.520,15.566,15.600,15.636,15.676,15.725,15.806,15.832,15.865,15.898,15.967,15.995,16.016,16.146,16.197,16.234,16.299,16.373,16.455,16.531,16.595,16.709,16.816,16.954,17.118,17.261,17.333,17.421,17.588,17.784,17.981,18.171,18.349,18.608,18.800,19.039,19.307,19.556,19.832,20.108,20.273,20.541,20.853,21.127,21.342,21.520,21.848,21.984,22.194,22.477,22.736,23.086,23.535,24.004,24.457,25.035,25.769,26.527,27.130,27.533,28.019,28.488,28.789,29.079,29.455,29.983,30.465,30.895,31.271,31.947,32.411,33.031,33.592,34.279,34.904,35.759,36.541,37.219,38.001,38.905,39.774,40.810,41.885,42.715,43.519,44.271,44.880,45.463,46.108,46.586,46.938,47.286,47.789,48.151,48.639,49.055,49.491,49.861,50.354,50.678,50.984,51.269,51.524,51.719,51.931,52.214,52.548,52.912,53.313,53.738,54.159,54.686,55.340,55.818,56.400,57.001,57.417,57.826,58.450,59.105,59.611,60.055,60.643,61.088,61.566,61.931,62.161,62.535,62.841,63.273,63.628,64.007,64.387,64.738,65.048,65.362,65.737,66.093,66.452,66.771,67.100,67.423,67.747,68.028,68.251,68.615,69.025,69.162,69.464,69.695,69.794,69.959,70.255,70.453,70.682,70.949,71.200,71.595,72.071,72.520,72.944,73.337,73.822,74.266,74.558,74.792,75.027,75.289,75.650,76.089,76.461,76.730,77.169,77.639,78.193,78.824,79.324,79.939,80.578,81.158,81.898,82.571,83.156,83.882,84.468,84.770,85.576,86.171,86.642,86.993,87.315,87.738,88.399,88.613,88.543,88.396,88.501,88.781,89.036,89.471,89.743,90.264,90.726,91.326,91.876,91.985,92.525,92.907,93.417,93.885,94.258,94.461,94.924,95.426,95.788,96.330,96.726,96.822,96.769,97.325,97.583,97.581,97.496,98.159,98.410,98.886,99.390,99.650,100.162,100.778,101.419,102.136,102.577,103.019,103.375,103.888,104.211,104.541,105.037,104.614,105.538,106.275,107.668,109.305,110.920,112.848,115.135,117.671,118.962,120.093,121.261,121.766,122.762,123.271,124.224
2,Personal consumption expenditures,11.556,11.648,11.865,12.161,12.295,12.423,12.613,12.574,12.476,12.400,12.328,12.316,12.294,12.352,12.610,12.836,13.246,13.354,13.372,13.549,13.606,13.602,13.691,13.714,13.766,13.786,13.861,13.922,13.992,13.973,13.927,13.912,13.957,13.971,14.025,14.063,14.121,14.216,14.355,14.439,14.569,14.662,14.781,14.858,15.041,15.069,15.080,15.074,15.176,15.238,15.330,15.414,15.434,15.515,15.573,15.642,15.671,15.669,15.726,15.742,15.810,15.866,15.909,15.957,16.003,16.029,16.106,16.166,16.242,16.277,16.331,16.384,16.437,16.520,16.582,16.632,16.761,16.898,17.027,17.159,17.209,17.290,17.450,17.600,17.787,17.968,18.154,18.355,18.534,18.770,19.000,19.220,19.443,19.659,19.850,20.107,20.297,20.528,20.729,20.857,21.076,21.198,21.384,21.559,21.821,22.241,22.647,23.112,23.800,24.474,25.134,25.770,26.251,26.571,27.067,27.521,27.826,28.060,28.488,28.938,29.460,29.963,30.414,30.846,31.350,31.994,32.556,33.172,33.798,34.723,35.585,36.448,37.542,38.462,39.362,40.337,41.385,42.079,42.772,43.426,43.975,44.397,45.096,45.592,45.967,46.387,46.997,47.309,47.823,48.288,48.661,48.962,49.538,49.940,50.332,50.683,51.044,50.991,51.260,51.570,52.057,52.559,53.056,53.514,53.936,54.532,55.204,55.762,56.404,57.165,57.503,57.957,58.799,59.333,60.087,60.882,61.201,61.534,61.951,62.400,62.790,63.207,63.610,64.054,64.436,64.869,65.151,65.527,65.761,66.128,66.603,66.916,67.244,67.635,67.912,68.210,68.589,69.048,69.342,69.815,70.124,70.300,70.485,70.707,70.713,70.840,71.058,71.245,71.384,71.789,72.183,72.622,73.212,73.562,74.037,74.457,75.011,75.363,75.401,75.431,75.582,76.142,76.535,76.892,77.480,77.557,78.068,78.451,79.056,79.587,79.979,80.662,81.131,81.644,82.526,83.184,83.617,84.352,84.959,84.818,85.593,86.319,86.808,87.691,88.407,89.269,90.222,88.781,88.181,88.531,89.141,89.828,90.175,90.314,90.488,91.068,91.833,92.737,93.166,93.474,94.093,94.320,94.594,95.124,95.458,95.506,95.899,96.252,96.694,97.126,97.392,97.263,96.827,97.311,97.563,97.488,97.535,98.154,98.492,98.943,99.520,99.720,100.073,100.672,101.377,101.910,102.252,102.640,102.875,103.419,103.670,104.073,104.406,103.949,104.801,105.319,106.547,108.174,109.673,111.487,113.574,115.568,116.902,118.098,119.309,120.044,120.814,121.350,122.368
3,"    Goods",22.694,22.912,23.263,23.876,24.219,24.479,24.859,24.676,24.373,24.097,23.817,23.672,23.538,23.665,24.246,24.761,25.776,25.999,25.966,26.277,26.338,26.185,26.281,26.212,26.189,26.114,26.110,26.118,26.237,26.138,25.951,25.818,25.854,25.830,25.915,25.921,25.994,26.188,26.473,26.622,26.859,27.065,27.276,27.371,27.821,27.834,27.763,27.632,27.816,27.849,27.936,28.009,27.970,28.110,28.150,28.256,28.291,28.175,28.247,28.198,28.281,28.346,28.391,28.469,28.502,28.505,28.678,28.746,28.882,28.874,28.927,28.996,29.060,29.228,29.300,29.301,29.568,29.783,29.971,30.144,30.121,30.192,30.513,30.746,31.028,31.291,31.579,31.898,32.122,32.509,32.875,33.182,33.502,33.775,34.010,34.389,34.570,34.898,35.088,35.186,35.541,35.654,35.929,36.181,36.762,37.614,38.334,39.193,40.744,42.101,43.405,44.663,45.303,45.640,46.503,47.134,47.372,47.534,48.123,48.807,49.577,50.276,50.797,51.417,52.116,53.219,54.089,55.021,56.354,57.981,59.490,60.945,63.134,64.668,65.989,67.332,68.992,69.847,70.532,71.122,71.526,71.677,72.411,72.496,72.497,73.213,73.719,73.840,74.439,74.622,74.786,75.015,75.491,75.859,75.919,76.385,76.139,75.056,75.404,75.661,76.971,77.730,78.403,78.834,78.953,79.621,80.501,81.095,81.956,83.381,83.402,83.754,85.300,85.628,86.839,88.409,88.350,88.519,88.678,89.042,89.145,89.523,89.981,90.201,90.366,90.445,90.342,90.824,90.725,91.040,91.878,91.997,92.109,92.300,92.325,92.346,92.959,93.368,93.192,93.608,93.721,93.217,92.956,92.833,92.113,91.746,91.717,91.549,91.451,92.104,92.559,92.878,93.603,94.042,94.296,94.405,94.404,94.560,94.082,93.069,92.651,93.298,93.282,93.250,93.776,92.485,92.924,92.851,93.604,94.127,94.196,95.289,95.117,95.464,97.050,97.151,97.075,97.821,98.391,96.700,97.375,98.431,98.638,99.847,100.869,102.123,103.836,99.201,97.457,98.542,99.758,100.563,100.707,100.116,100.090,101.209,102.788,104.520,104.878,105.112,105.764,105.423,105.409,105.882,105.756,104.788,104.914,104.745,104.903,105.010,104.799,103.486,101.347,101.874,101.613,100.573,99.518,99.960,99.565,99.797,100.331,99.712,99.744,100.213,100.748,101.012,100.840,100.645,100.240,100.662,100.339,100.465,100.168,98.688,99.678,99.991,101.348,103.450,105.379,108.051,111.145,113.795,114.617,114.643,114.844,114.911,115.163,114.759,114.606
4,"        Durable goods",51.874,52.351,52.644,53.330,53.739,54.448,56.350,56.463,56.286,55.935,55.257,55.173,54.973,55.372,56.113,57.066,59.222,59.629,59.660,60.240,60.659,59.945,60.561,59.122,59.679,59.738,59.357,59.487,59.989,58.493,57.533,57.184,57.517,57.783,58.325,58.480,58.710,58.842,59.697,60.479,60.967,61.811,61.806,61.926,63.024,62.769,62.703,62.479,63.568,63.809,63.798,63.770,63.679,63.603,63.407,63.295,63.302,63.600,63.890,63.812,63.825,63.910,64.120,63.867,63.885,64.079,64.259,64.462,64.556,64.521,64.454,64.329,64.344,64.145,63.825,63.471,63.382,63.651,63.930,64.221,64.087,64.368,65.076,65.730,66.152,66.553,67.108,67.723,68.125,68.640,68.974,69.405,69.530,69.806,70.319,71.486,72.491,73.001,72.835,72.459,73.083,73.456,73.828,73.588,73.889,74.478,74.864,75.132,76.005,77.945,80.904,83.394,84.630,86.106,87.031,88.375,89.604,90.623,91.734,93.289,94.237,94.709,95.685,96.958,98.342,99.841,101.464,103.251,104.946,106.807,108.043,109.994,113.219,115.895,118.013,120.045,121.582,123.877,125.703,127.325,128.370,129.349,129.794,130.157,131.078,131.562,132.284,133.115,133.166,134.005,134.279,134.533,135.222,135.535,135.298,135.636,135.648,136.261,137.394,138.175,139.349,140.450,141.462,142.045,141.804,142.593,143.611,144.679,145.411,145.529,145.858,146.337,147.117,147.133,147.198,147.494,148.753,149.125,149.677,149.999,149.993,150.401,150.523,150.753,150.670,151.460,152.194,153.199,153.555,154.474,155.569,155.841,156.473,156.309,155.810,155.466,155.583,154.558,154.156,153.491,152.903,151.435,150.428,149.599,148.513,147.411,146.285,145.190,143.956,143.227,142.556,141.699,141.032,140.732,139.874,139.547,138.936,137.957,137.045,136.360,135.148,134.463,133.797,132.924,131.243,129.829,128.517,127.331,127.196,127.072,126.092,126.262,125.994,125.818,124.911,124.621,124.097,123.521,122.972,122.191,121.559,120.977,120.137,119.619,119.263,118.476,118.095,117.260,116.647,116.356,115.474,115.875,115.252,114.227,113.377,113.017,113.022,113.301,113.118,112.664,112.514,111.855,111.213,110.831,110.550,109.816,109.219,108.647,107.722,107.001,106.616,105.818,105.057,105.112,104.475,103.848,103.348,103.034,101.983,101.053,100.976,100.376,99.499,99.224,99.092,98.842,98.363,98.243,98.341,98.006,97.496,96.921,96.613,95.864,96.919,97.548,97.844,101.218,103.593,105.894,108.072,108.435,109.214,108.764,108.521,108.547,107.332,106.380,106.253
5,"        Nondurable goods",14.928,15.073,15.346,15.810,16.069,16.230,16.388,16.219,15.972,15.766,15.587,15.469,15.370,15.441,15.884,16.248,16.934,17.088,17.052,17.267,17.285,17.220,17.250,17.321,17.247,17.174,17.210,17.205,17.262,17.319,17.251,17.170,17.169,17.120,17.137,17.126,17.167,17.327,17.493,17.546,17.707,17.803,17.993,18.065,18.354,18.389,18.334,18.240,18.295,18.300,18.379,18.447,18.422,18.554,18.609,18.714,18.742,18.612,18.646,18.611,18.683,18.732,18.751,18.848,18.876,18.857,18.995,19.034,19.148,19.144,19.201,19.279,19.336,19.519,19.625,19.670,19.935,20.104,20.246,20.373,20.368,20.399,20.613,20.751,20.965,21.163,21.366,21.589,21.751,22.054,22.363,22.600,22.891,23.116,23.273,23.481,23.520,23.765,23.973,24.124,24.385,24.441,24.657,24.942,25.477,26.247,26.917,27.747,29.180,30.247,31.097,31.976,32.425,32.538,33.261,33.689,33.734,33.733,34.153,34.596,35.228,35.874,36.246,36.669,37.157,38.048,38.673,39.333,40.429,41.801,43.159,44.332,46.045,47.174,48.175,49.215,50.665,51.164,51.565,51.905,52.148,52.146,52.818,52.846,52.697,53.356,53.758,53.734,54.363,54.398,54.522,54.719,55.099,55.437,55.549,55.990,55.711,54.383,54.524,54.643,55.859,56.471,57.007,57.363,57.547,58.125,58.893,59.325,60.138,61.725,61.675,61.964,63.534,63.899,65.243,66.933,66.599,66.707,66.766,67.102,67.217,67.551,68.038,68.237,68.442,68.355,68.072,68.390,68.194,68.340,69.047,69.119,69.100,69.359,69.507,69.615,70.301,71.034,70.929,71.589,71.875,71.659,71.614,71.691,71.118,70.976,71.260,71.370,71.610,72.644,73.423,74.086,75.221,75.879,76.479,76.729,76.936,77.462,77.142,76.041,75.902,76.993,77.208,77.480,78.775,77.559,78.633,78.971,80.042,80.797,81.259,82.694,82.556,83.100,85.661,85.912,86.007,87.267,88.277,86.239,87.437,89.145,89.770,91.668,93.222,95.266,97.779,91.736,89.588,91.160,93.147,94.101,94.536,94.115,94.406,96.095,98.284,100.580,101.151,101.664,102.650,102.445,102.696,103.533,103.472,102.402,102.847,102.860,103.502,103.987,103.858,102.308,99.526,100.273,100.192,98.955,97.635,98.439,98.365,99.172,100.012,99.383,99.872,100.721,101.599,102.132,102.121,101.889,101.226,102.044,101.816,102.312,102.010,100.151,101.107,101.242,103.245,104.572,106.240,109.127,112.754,116.745,117.591,117.899,118.366,118.457,119.600,119.531,119.364
6,"    Services",7.030,7.068,7.237,7.401,7.443,7.517,7.630,7.658,7.654,7.670,7.694,7.748,7.780,7.808,7.928,8.030,8.177,8.237,8.282,8.407,8.466,8.533,8.623,8.689,8.779,8.845,8.961,9.049,9.102,9.119,9.135,9.174,9.227,9.259,9.303,9.359,9.412,9.466,9.545,9.604,9.692,9.737,9.821,9.893,9.966,10.001,10.048,10.096,10.167,10.243,10.341,10.432,10.479,10.537,10.605,10.660,10.687,10.733,10.784,10.829,10.892,10.945,10.988,11.025,11.077,11.112,11.150,11.208,11.261,11.315,11.370,11.418,11.468,11.516,11.575,11.648,11.721,11.828,11.936,12.053,12.135,12.224,12.319,12.437,12.587,12.738,12.885,13.041,13.205,13.383,13.561,13.748,13.935,14.129,14.305,14.515,14.711,14.905,15.114,15.256,15.423,15.550,15.703,15.849,15.982,16.231,16.513,16.822,17.168,17.573,17.979,18.374,18.792,19.103,19.456,19.840,20.169,20.430,20.794,21.153,21.577,22.005,22.427,22.785,23.214,23.677,24.118,24.610,24.960,25.610,26.220,26.851,27.522,28.202,28.933,29.756,30.561,31.186,31.870,32.537,33.129,33.641,34.315,34.952,35.456,35.762,36.400,36.777,37.250,37.815,38.263,38.587,39.196,39.606,40.122,40.428,41.018,41.362,41.600,41.928,42.095,42.492,42.917,43.380,43.912,44.474,45.060,45.599,46.151,46.654,47.107,47.592,48.159,48.762,49.337,49.838,50.287,50.672,51.172,51.640,52.121,52.542,52.917,53.429,53.878,54.426,54.839,55.168,55.518,55.896,56.231,56.608,57.008,57.463,57.825,58.218,58.506,58.975,59.437,59.923,60.299,60.723,61.072,61.420,61.698,62.011,62.321,62.641,62.871,63.175,63.542,64.024,64.555,64.867,65.426,65.968,66.738,67.166,67.407,67.855,68.232,68.751,69.309,69.824,70.437,71.078,71.618,72.193,72.732,73.265,73.791,74.299,75.041,75.625,76.203,77.100,77.753,78.482,79.106,79.638,80.456,81.039,81.649,82.391,82.973,83.670,84.307,84.178,84.047,84.106,84.470,85.107,85.532,85.967,86.222,86.579,87.008,87.568,88.025,88.363,88.966,89.428,89.820,90.372,90.898,91.379,91.885,92.461,93.025,93.599,94.073,94.464,94.781,95.245,95.727,96.085,96.628,97.327,97.998,98.550,99.148,99.726,100.227,100.887,101.671,102.329,102.913,103.575,104.112,104.716,105.248,105.793,106.442,106.518,107.299,107.934,109.091,110.445,111.701,113.043,114.572,116.205,117.809,119.624,121.370,122.461,123.506,124.545,126.184
7,Gross private domestic investment,15.778,16.444,17.141,17.793,17.612,17.687,18.266,18.751,18.524,17.948,18.086,18.021,18.171,18.360,18.960,19.634,20.636,21.043,20.894,20.909,20.752,20.464,20.968,20.761,20.634,20.667,20.878,20.676,20.557,20.506,20.805,21.001,21.110,21.055,21.324,21.994,22.474,22.281,22.846,22.730,23.262,23.340,23.236,22.540,22.703,22.591,23.217,23.771,23.434,23.368,23.367,23.420,23.729,23.623,23.488,23.230,23.362,23.428,23.498,23.628,23.660,23.515,23.470,23.391,23.326,23.413,23.375,23.664,23.509,23.604,23.506,23.771,23.884,23.917,23.874,24.171,24.131,24.375,24.504,24.814,24.907,24.880,25.110,25.409,25.692,25.826,26.006,26.565,26.902,27.114,27.320,27.737,28.013,28.508,28.453,28.812,29.323,29.693,30.040,30.314,30.527,30.762,31.172,31.859,31.928,32.294,33.027,33.884,34.337,35.635,36.719,37.888,39.218,40.251,40.720,41.264,41.502,42.237,42.874,43.767,44.637,45.048,45.566,47.660,48.133,48.917,49.733,50.917,51.824,53.201,54.747,55.966,57.039,58.375,59.585,60.714,62.414,64.110,64.914,66.365,67.024,67.680,68.229,68.493,68.162,67.960,67.966,68.230,68.484,68.677,68.861,69.174,69.254,69.538,69.602,70.180,70.521,71.090,71.398,71.716,72.247,72.490,72.636,73.433,74.048,74.390,74.572,75.068,75.827,76.229,76.568,77.089,77.483,77.757,78.205,78.425,79.164,79.334,79.551,79.366,79.045,79.213,79.448,79.640,79.708,80.031,80.679,80.658,80.969,81.237,81.724,81.995,82.386,82.638,83.086,83.056,82.981,82.859,82.386,82.819,83.499,82.175,82.834,82.604,82.394,82.106,82.191,82.302,82.595,82.343,82.105,82.479,82.963,83.348,83.522,83.641,83.568,83.509,84.144,84.227,84.553,84.095,84.199,84.688,84.768,84.743,84.768,85.460,86.226,87.107,87.858,88.733,89.774,90.606,91.404,92.577,93.464,93.988,94.353,94.932,95.152,95.480,96.115,95.658,95.411,96.167,96.485,98.674,97.190,95.443,94.584,93.902,93.737,93.897,93.574,93.922,94.316,94.365,94.992,95.074,95.378,95.795,95.806,96.414,96.522,96.453,96.444,96.911,97.486,98.006,98.400,99.022,99.016,98.890,99.052,98.840,98.280,98.763,98.803,99.092,99.421,99.914,100.200,100.438,100.905,101.393,101.785,102.075,102.623,103.088,103.175,102.968,103.568,103.467,104.180,104.855,105.514,106.528,108.074,110.457,112.891,115.431,117.389,118.176,119.228,119.087,119.557,120.292,120.618
8,"    Fixed investment",14.817,15.377,15.765,16.093,16.259,16.620,17.127,17.314,17.282,17.255,17.063,16.993,16.980,17.248,17.733,18.072,18.683,18.975,19.129,19.324,19.408,19.491,19.522,19.482,19.500,19.608,19.761,19.715,19.732,19.808,19.807,19.825,19.839,19.972,20.212,20.473,20.895,21.123,21.475,21.635,21.841,21.939,22.087,22.178,22.001,22.098,22.132,22.174,22.208,22.303,22.373,22.414,22.446,22.485,22.480,22.447,22.404,22.421,22.414,22.416,22.433,22.453,22.447,22.425,22.430,22.397,22.329,22.388,22.323,22.515,22.546,22.771,22.784,22.828,22.876,23.133,23.037,23.417,23.420,23.693,23.783,23.896,24.048,24.334,24.594,24.828,24.978,25.515,25.811,26.090,26.330,26.675,26.891,27.469,27.409,27.726,28.203,28.596,28.928,29.192,29.554,29.755,30.049,30.474,30.780,31.328,31.997,32.438,33.094,34.055,35.352,36.720,37.950,38.825,39.275,39.851,40.239,40.939,41.515,42.163,43.045,43.844,44.814,45.772,46.635,47.596,48.529,49.508,50.554,51.856,53.114,54.196,55.461,56.740,57.966,59.200,60.751,62.087,63.120,64.389,65.280,66.068,66.472,66.649,66.455,66.267,66.283,66.424,66.565,66.889,67.156,67.372,67.612,67.743,68.059,68.496,68.850,69.372,69.952,70.401,70.666,70.825,71.031,71.705,72.331,72.795,73.165,73.856,74.270,74.752,75.131,75.550,76.012,76.313,76.780,77.189,77.828,77.965,78.041,77.789,77.670,77.818,78.005,78.279,78.542,78.810,78.959,79.206,79.643,79.903,80.251,80.575,81.082,81.382,81.633,81.614,81.501,81.358,81.581,81.547,81.561,81.621,81.738,81.637,81.338,81.170,81.122,81.163,81.268,81.333,81.234,81.495,82.009,82.344,82.705,82.873,82.907,83.164,83.361,83.403,83.320,83.401,83.333,83.761,84.078,84.003,84.033,84.598,85.358,86.265,86.995,87.860,88.790,89.655,90.673,91.707,92.572,93.152,93.645,94.359,94.831,94.889,94.861,94.845,95.053,95.187,95.797,96.697,95.996,94.722,93.720,93.495,93.009,92.933,92.928,93.229,93.490,93.962,94.133,94.336,94.797,95.078,95.465,95.609,95.636,95.939,96.240,96.795,97.446,97.649,98.178,98.383,98.626,98.599,98.651,98.455,98.114,98.432,98.566,99.072,99.405,99.909,100.254,100.412,100.945,101.448,101.837,102.034,102.599,103.032,103.220,103.192,103.574,103.962,104.480,105.117,105.881,106.920,108.772,111.042,113.626,116.227,118.098,119.140,120.384,120.370,120.890,121.620,121.990
9,"        Nonresidential",19.178,19.760,20.282,20.650,20.759,21.339,22.070,22.369,22.218,22.182,22.090,21.952,21.965,22.172,22.642,23.395,24.183,24.605,24.834,25.102,25.211,25.267,25.200,25.206,25.231,25.427,25.614,25.579,25.689,25.805,25.638,25.678,25.629,25.770,26.164,26.686,27.414,27.657,28.323,28.691,29.124,29.281,29.478,29.699,29.423,29.598,29.665,29.735,29.777,29.963,30.110,30.182,30.200,30.222,30.210,30.129,30.089,30.068,30.049,30.066,30.074,30.115,30.108,30.084,30.087,30.079,30.113,30.131,30.141,30.288,30.306,30.449,30.491,30.565,30.661,30.808,30.789,31.075,31.145,31.411,31.554,31.726,31.938,32.246,32.506,32.821,33.087,33.578,33.852,34.173,34.553,34.983,35.378,35.960,36.191,36.665,37.178,37.608,37.938,38.176,38.610,38.906,39.153,39.385,39.720,40.282,40.912,41.412,42.205,43.526,45.294,47.254,48.988,50.231,50.867,51.557,52.123,52.791,53.492,54.273,55.330,56.159,57.126,58.108,58.957,59.934,60.918,61.976,63.291,64.697,66.072,67.325,68.840,70.425,71.923,73.409,75.397,77.201,78.587,80.248,81.361,82.298,82.773,82.958,82.536,82.170,82.048,82.044,82.107,82.408,82.585,82.682,82.944,83.092,83.405,83.771,83.987,84.536,85.088,85.475,85.537,85.509,85.536,86.338,87.141,87.608,87.983,88.805,89.269,89.663,90.170,90.621,91.134,91.494,92.124,92.730,93.636,93.721,93.672,93.394,93.318,93.243,93.311,93.328,93.397,93.470,93.419,93.705,93.961,94.159,94.361,94.452,94.865,95.174,95.436,95.224,94.921,94.551,94.569,94.374,94.250,94.190,94.118,93.739,93.196,92.731,92.353,92.139,92.011,91.777,91.373,91.524,91.781,91.977,92.258,92.241,91.864,91.832,91.606,91.476,91.407,91.322,91.054,91.087,90.739,90.559,90.319,90.462,90.716,91.257,91.486,92.123,92.975,93.569,93.904,94.633,95.218,95.689,96.279,97.033,97.506,97.692,97.655,97.626,98.047,98.351,99.379,100.884,100.157,98.817,97.689,97.232,96.581,96.644,96.639,96.904,97.190,97.707,97.915,98.160,98.767,99.044,99.361,99.339,99.046,99.140,99.224,99.495,99.834,100.033,100.290,100.500,100.647,100.488,100.330,99.918,99.372,99.434,99.207,99.506,99.721,100.016,100.135,100.119,100.180,100.333,100.554,100.635,101.187,101.599,101.619,101.416,101.725,102.147,102.107,102.400,102.377,102.430,103.555,105.438,107.135,109.070,110.673,111.545,113.278,113.334,113.581,114.138,114.539
